anchor_id,source,source_version,anchor_kind,human_labeled_minutes,without_ai_minutes,human_labeled,weight,feature_vector,labels,valid_from,valid_to
ainative2026_118,internal_ainative_2026,2026,ainative_need,,479.04,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 2.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 960.0}",,
ainative2026_119,internal_ainative_2026,2026,ainative_need,,1197.6,t,1,"{""log_work_min"": 7.427144, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 3.5, ""trad_days"": 5.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 2400.0}",,
ainative2026_12,internal_ainative_2026,2026,ainative_need,,10778.4,t,1,"{""log_work_min"": 9.935035, ""ai_code_ratio"": 0.0}","{""calib"": 0.499, ""act_days"": 43.0, ""trad_days"": 45.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 21600.0}",,
ainative2026_120,internal_ainative_2026,2026,ainative_need,,838.32,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 3.5, ""adopt_imputed"": false, ""raw_without_ai_min"": 1680.0}",,
ainative2026_121,internal_ainative_2026,2026,ainative_need,,1077.84,t,1,"{""log_work_min"": 7.09091, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 2.5, ""trad_days"": 4.5, ""adopt_imputed"": false, ""raw_without_ai_min"": 2160.0}",,
ainative2026_122,internal_ainative_2026,2026,ainative_need,,3832.32,t,1,"{""log_work_min"": 8.314097, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 8.5, ""trad_days"": 16.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 7680.0}",,
ainative2026_123,internal_ainative_2026,2026,ainative_need,,6227.52,t,1,"{""log_work_min"": 8.881975, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 15.0, ""trad_days"": 26.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 12480.0}",,
ainative2026_124,internal_ainative_2026,2026,ainative_need,,3832.32,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 16.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 7680.0}",,
ainative2026_125,internal_ainative_2026,2026,ainative_need,,3113.76,t,1,"{""log_work_min"": 8.119994, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 7.0, ""trad_days"": 13.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 6240.0}",,
ainative2026_126,internal_ainative_2026,2026,ainative_need,,4311.36,t,1,"{""log_work_min"": 8.571871, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 11.0, ""trad_days"": 18.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 8640.0}",,
ainative2026_127,internal_ainative_2026,2026,ainative_need,,34490.88,t,1,"{""log_work_min"": 10.604628, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 84.0, ""trad_days"": 144.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 69120.0}",,
ainative2026_128,internal_ainative_2026,2026,ainative_need,,239.52,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 1.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 480.0}",,
ainative2026_129,internal_ainative_2026,2026,ainative_need,,239.52,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 1.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 480.0}",,
ainative2026_13,internal_ainative_2026,2026,ainative_need,,6946.08,t,1,"{""log_work_min"": 9.330875, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 23.5, ""trad_days"": 29.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 13920.0}",,
ainative2026_130,internal_ainative_2026,2026,ainative_need,,7904.16,t,1,"{""log_work_min"": 8.371242, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 9.0, ""trad_days"": 33.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 15840.0}",,
ainative2026_131,internal_ainative_2026,2026,ainative_need,,11257.44,t,1,"{""log_work_min"": 9.007122, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 17.0, ""trad_days"": 47.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 22560.0}",,
ainative2026_132,internal_ainative_2026,2026,ainative_need,,1724.544,t,1,"{""log_work_min"": 7.721792, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 4.7, ""trad_days"": 7.2, ""adopt_imputed"": false, ""raw_without_ai_min"": 3456.0}",,
ainative2026_133,internal_ainative_2026,2026,ainative_need,,2634.72,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 11.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 5280.0}",,
ainative2026_134,internal_ainative_2026,2026,ainative_need,,1916.16,t,1,"{""log_work_min"": 7.560601, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 4.0, ""trad_days"": 8.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 3840.0}",,
ainative2026_135,internal_ainative_2026,2026,ainative_need,,479.04,t,1,"{""log_work_min"": 6.580639, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.5, ""trad_days"": 2.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 960.0}",,
ainative2026_136,internal_ainative_2026,2026,ainative_need,,958.08,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 4.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 1920.0}",,
ainative2026_137,internal_ainative_2026,2026,ainative_need,,479.04,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 2.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 960.0}",,
ainative2026_138,internal_ainative_2026,2026,ainative_need,,479.04,t,1,"{""log_work_min"": 6.580639, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.5, ""trad_days"": 2.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 960.0}",,
ainative2026_139,internal_ainative_2026,2026,ainative_need,,7904.16,t,1,"{""log_work_min"": 9.007122, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 17.0, ""trad_days"": 33.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 15840.0}",,
ainative2026_14,internal_ainative_2026,2026,ainative_need,,9101.76,t,1,"{""log_work_min"": 9.523763, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 28.5, ""trad_days"": 38.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 18240.0}",,
ainative2026_140,internal_ainative_2026,2026,ainative_need,,239.52,t,1,"{""log_work_min"": 5.26269, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 0.4, ""trad_days"": 1.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 480.0}",,
ainative2026_141,internal_ainative_2026,2026,ainative_need,,2155.68,t,1,"{""log_work_min"": 7.560601, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 4.0, ""trad_days"": 9.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 4320.0}",,
ainative2026_142,internal_ainative_2026,2026,ainative_need,,6227.52,t,1,"{""log_work_min"": 8.881975, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 15.0, ""trad_days"": 26.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 12480.0}",,
ainative2026_143,internal_ainative_2026,2026,ainative_need,,838.32,t,1,"{""log_work_min"": 7.09091, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 2.5, ""trad_days"": 3.5, ""adopt_imputed"": false, ""raw_without_ai_min"": 1680.0}",,
ainative2026_144,internal_ainative_2026,2026,ainative_need,,1197.6,t,1,"{""log_work_min"": 7.783641, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 5.0, ""trad_days"": 5.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 2400.0}",,
ainative2026_145,internal_ainative_2026,2026,ainative_need,,2874.24,t,1,"{""log_work_min"": 8.119994, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 7.0, ""trad_days"": 12.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 5760.0}",,
ainative2026_146,internal_ainative_2026,2026,ainative_need,,2634.72,t,1,"{""log_work_min"": 6.580639, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.5, ""trad_days"": 11.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 5280.0}",,
ainative2026_147,internal_ainative_2026,2026,ainative_need,,2395.2,t,1,"{""log_work_min"": 7.560601, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 4.0, ""trad_days"": 10.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 4800.0}",,
ainative2026_148,internal_ainative_2026,2026,ainative_need,,479.04,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 2.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 960.0}",,
ainative2026_149,internal_ainative_2026,2026,ainative_need,,3592.8,t,1,"{""log_work_min"": 8.314097, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 8.5, ""trad_days"": 15.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 7200.0}",,
ainative2026_15,internal_ainative_2026,2026,ainative_need,,11736.48,t,1,"{""log_work_min"": 9.911505, ""ai_code_ratio"": 0.6}","{""calib"": 0.499, ""act_days"": 42.0, ""trad_days"": 49.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 23520.0}",,
ainative2026_150,internal_ainative_2026,2026,ainative_need,,359.28,t,1,"{""log_work_min"": 6.580639, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.5, ""trad_days"": 1.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 720.0}",,
ainative2026_151,internal_ainative_2026,2026,ainative_need,,1437.12,t,1,"{""log_work_min"": 7.273093, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 3.0, ""trad_days"": 6.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 2880.0}",,
ainative2026_152,internal_ainative_2026,2026,ainative_need,,4071.84,t,1,"{""log_work_min"": 8.253488, ""ai_code_ratio"": 0.95}","{""calib"": 0.499, ""act_days"": 8.0, ""trad_days"": 17.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 8160.0}",,
ainative2026_153,internal_ainative_2026,2026,ainative_need,,2275.44,t,1,"{""log_work_min"": 7.09091, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 2.5, ""trad_days"": 9.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 4560.0}",,
ainative2026_154,internal_ainative_2026,2026,ainative_need,,838.32,t,1,"{""log_work_min"": 6.580639, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.5, ""trad_days"": 3.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 1680.0}",,
ainative2026_155,internal_ainative_2026,2026,ainative_need,,1676.64,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 7.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 3360.0}",,
ainative2026_156,internal_ainative_2026,2026,ainative_need,,239.52,t,1,"{""log_work_min"": 6.175867, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 1.0, ""trad_days"": 1.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 480.0}",,
ainative2026_157,internal_ainative_2026,2026,ainative_need,,1556.88,t,1,"{""log_work_min"": 7.878913, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 5.5, ""trad_days"": 6.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 3120.0}",,
ainative2026_158,internal_ainative_2026,2026,ainative_need,,239.52,t,1,"{""log_work_min"": 5.484797, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 0.5, ""trad_days"": 1.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 480.0}",,
ainative2026_159,internal_ainative_2026,2026,ainative_need,,1676.64,t,1,"{""log_work_min"": 5.484797, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 0.5, ""trad_days"": 7.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 3360.0}",,
ainative2026_16,internal_ainative_2026,2026,ainative_need,,7904.16,t,1,"{""log_work_min"": 9.309371, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 23.0, ""trad_days"": 33.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 15840.0}",,
ainative2026_160,internal_ainative_2026,2026,ainative_need,,3592.8,t,1,"{""log_work_min"": 8.47658, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 10.0, ""trad_days"": 15.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 7200.0}",,
ainative2026_161,internal_ainative_2026,2026,ainative_need,,1437.12,t,1,"{""log_work_min"": 7.560601, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 4.0, ""trad_days"": 6.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 2880.0}",,
ainative2026_162,internal_ainative_2026,2026,ainative_need,,4071.84,t,1,"{""log_work_min"": 6.867974, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 2.0, ""trad_days"": 17.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 8160.0}",,
ainative2026_163,internal_ainative_2026,2026,ainative_need,,1437.12,t,1,"{""log_work_min"": 7.560601, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 4.0, ""trad_days"": 6.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 2880.0}",,
ainative2026_164,internal_ainative_2026,2026,ainative_need,,2395.2,t,1,"{""log_work_min"": 7.965893, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 6.0, ""trad_days"": 10.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 4800.0}",,
ainative2026_165,internal_ainative_2026,2026,ainative_need,,147352.704,t,1,"{""log_work_min"": 12.234548, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 428.7, ""trad_days"": 615.2, ""adopt_imputed"": true, ""raw_without_ai_min"": 295296.0}",,
ainative2026_166,internal_ainative_2026,2026,ainative_need,,8862.24,t,1,"{""log_work_min"": 9.451009, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 26.5, ""trad_days"": 37.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 17760.0}",,
ainative2026_167,internal_ainative_2026,2026,ainative_need,,27856.176,t,1,"{""log_work_min"": 10.517619, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 77.0, ""trad_days"": 116.3, ""adopt_imputed"": true, ""raw_without_ai_min"": 55824.0}",,
ainative2026_168,internal_ainative_2026,2026,ainative_need,,17245.44,t,1,"{""log_work_min"": 9.798183, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 37.5, ""trad_days"": 72.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 34560.0}",,
ainative2026_169,internal_ainative_2026,2026,ainative_need,,201316.56,t,1,"{""log_work_min"": 12.5189, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 569.7, ""trad_days"": 840.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 403440.0}",,
ainative2026_17,internal_ainative_2026,2026,ainative_need,,10299.36,t,1,"{""log_work_min"": 9.700208, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 34.0, ""trad_days"": 43.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 20640.0}",,
ainative2026_170,internal_ainative_2026,2026,ainative_need,,20359.2,t,1,"{""log_work_min"": 10.284694, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 61.0, ""trad_days"": 85.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 40800.0}",,
ainative2026_171,internal_ainative_2026,2026,ainative_need,,9101.76,t,1,"{""log_work_min"": 9.523763, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 28.5, ""trad_days"": 38.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 18240.0}",,
ainative2026_172,internal_ainative_2026,2026,ainative_need,,19760.4,t,1,"{""log_work_min"": 10.175688, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 54.7, ""trad_days"": 82.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 39600.0}",,
ainative2026_173,internal_ainative_2026,2026,ainative_need,,56406.96,t,1,"{""log_work_min"": 11.217225, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 155.0, ""trad_days"": 235.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 113040.0}",,
ainative2026_174,internal_ainative_2026,2026,ainative_need,,1077.84,t,1,"{""log_work_min"": 7.09091, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 2.5, ""trad_days"": 4.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 2160.0}",,
ainative2026_175,internal_ainative_2026,2026,ainative_need,,46107.6,t,1,"{""log_work_min"": 10.940242, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 117.5, ""trad_days"": 192.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 92400.0}",,
ainative2026_176,internal_ainative_2026,2026,ainative_need,,12335.28,t,1,"{""log_work_min"": 9.700208, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 34.0, ""trad_days"": 51.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 24720.0}",,
ainative2026_177,internal_ainative_2026,2026,ainative_need,,36167.52,t,1,"{""log_work_min"": 10.931695, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 116.5, ""trad_days"": 151.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 72480.0}",,
ainative2026_178,internal_ainative_2026,2026,ainative_need,,201316.56,t,1,"{""log_work_min"": 12.5189, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 569.7, ""trad_days"": 840.5, ""adopt_imputed"": true, ""raw_without_ai_min"": 403440.0}",,
ainative2026_18,internal_ainative_2026,2026,ainative_need,,4311.36,t,1,"{""log_work_min"": 8.738896, ""ai_code_ratio"": 0.8}","{""calib"": 0.499, ""act_days"": 13.0, ""trad_days"": 18.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 8640.0}",,
ainative2026_19,internal_ainative_2026,2026,ainative_need,,5748.48,t,1,"{""log_work_min"": 8.946505, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 16.0, ""trad_days"": 24.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 11520.0}",,
ainative2026_2,internal_ainative_2026,2026,ainative_need,,7664.64,t,1,"{""log_work_min"": 9.118335, ""ai_code_ratio"": 0.5}","{""calib"": 0.499, ""act_days"": 19.0, ""trad_days"": 32.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 15360.0}",,
ainative2026_20,internal_ainative_2026,2026,ainative_need,,10778.4,t,1,"{""log_work_min"": 9.351927, ""ai_code_ratio"": 1.0}","{""calib"": 0.499, ""act_days"": 24.0, ""trad_days"": 45.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 21600.0}",,
ainative2026_21,internal_ainative_2026,2026,ainative_need,,6227.52,t,1,"{""log_work_min"": 8.946505, ""ai_code_ratio"": 0.7}","{""calib"": 0.499, ""act_days"": 16.0, ""trad_days"": 26.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 12480.0}",,
ainative2026_22,internal_ainative_2026,2026,ainative_need,,22754.4,t,1,"{""log_work_min"": 10.422311, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 70.0, ""trad_days"": 95.0, ""adopt_imputed"": false, ""raw_without_ai_min"": 45600.0}",,
ainative2026_23,internal_ainative_2026,2026,ainative_need,,1077.84,t,1,"{""log_work_min"": 7.273093, ""ai_code_ratio"": 0.9}","{""calib"": 0.499, ""act_days"": 3.0, ""trad_days"": 4.5, ""adopt_imputed"": false, ""raw_without_ai_min"": 2160.0}",,
ainative2026_24,internal_ainative_2026,2026,ainative_need,,4071.84,t,1,"{""log_work_min"": 8.738896, ""ai_code_ratio"": 0.85}","{""calib"": 0.499, ""act_days"": 13.0, ""trad_days"": 17.0, ""adopt_imputed"": true, ""raw_without_ai_min"": 8160.0}",,
